"Temperature Date","Temperature Value"
"1846-01-01",-0.39
"1847-01-01",-0.32
"1848-01-01",-0.27
"1849-01-01",-0.25
"1850-01-01",-0.31
"1851-01-01",-0.31
"1852-01-01",-0.25
"1853-01-01",-0.16
"1854-01-01",-0.06
"1855-01-01",-0.16
"1856-01-01",-0.44
"1857-01-01",-0.48
"1858-01-01",-0.33
"1859-01-01",-0.2
"1860-01-01",-0.11
"1861-01-01",-0.11
"1862-01-01",-0.18
"1863-01-01",-0.26
"1864-01-01",-0.31
"1865-01-01",-0.34
"1866-01-01",-0.26
"1867-01-01",-0.12
"1868-01-01",-0.01
"1869-01-01",-0.01
"1870-01-01",-0.06
"1871-01-01",-0.05
"1872-01-01",-0.07
"1873-01-01",-0.15
"1874-01-01",-0.14
"1875-01-01",-0.12
"1876-01-01",-0.16
"1877-01-01",-0.18
"1878-01-01",-0.18
"1879-01-01",-0.25
"1880-01-01",-0.18
"1880-02-01",-0.24
"1880-03-01",-0.09
"1880-04-01",-0.16
"1880-05-01",-0.1
"1880-06-01",-0.21
"1880-07-01",-0.18
"1880-08-01",-0.1
"1880-09-01",-0.15
"1880-10-01",-0.24
"1880-11-01",-0.22
"1880-12-01",-0.18
"1881-01-01",-0.2
"1881-02-01",-0.14
"1881-03-01",0.03
"1881-04-01",0.05
"1881-05-01",0.06
"1881-06-01",-0.18
"1881-07-01",0
"1881-08-01",-0.03
"1881-09-01",-0.15
"1881-10-01",-0.22
"1881-11-01",-0.18
"1881-12-01",-0.07
"1882-01-01",0.17
"1882-02-01",0.14
"1882-03-01",0.05
"1882-04-01",-0.16
"1882-05-01",-0.14
"1882-06-01",-0.22
"1882-07-01",-0.16
"1882-08-01",-0.07
"1882-09-01",-0.14
"1882-10-01",-0.24
"1882-11-01",-0.16
"1882-12-01",-0.36
"1883-01-01",-0.29
"1883-02-01",-0.36
"1883-03-01",-0.12
"1883-04-01",-0.18
"1883-05-01",-0.18
"1883-06-01",-0.07
"1883-07-01",-0.07
"1883-08-01",-0.14
"1883-09-01",-0.22
"1883-10-01",-0.11
"1883-11-01",-0.24
"1883-12-01",-0.11
"1884-01-01",-0.13
"1884-02-01",-0.08
"1884-03-01",-0.37
"1884-04-01",-0.4
"1884-05-01",-0.34
"1884-06-01",-0.35
"1884-07-01",-0.33
"1884-08-01",-0.27
"1884-09-01",-0.27
"1884-10-01",-0.25
"1884-11-01",-0.33
"1884-12-01",-0.31
"1885-01-01",-0.58
"1885-02-01",-0.33
"1885-03-01",-0.26
"1885-04-01",-0.42
"1885-05-01",-0.45
"1885-06-01",-0.43
"1885-07-01",-0.33
"1885-08-01",-0.3
"1885-09-01",-0.28
"1885-10-01",-0.23
"1885-11-01",-0.23
"1885-12-01",-0.09
"1886-01-01",-0.43
"1886-02-01",-0.5
"1886-03-01",-0.43
"1886-04-01",-0.27
"1886-05-01",-0.24
"1886-06-01",-0.34
"1886-07-01",-0.17
"1886-08-01",-0.3
"1886-09-01",-0.24
"1886-10-01",-0.27
"1886-11-01",-0.27
"1886-12-01",-0.25
"1887-01-01",-0.71
"1887-02-01",-0.56
"1887-03-01",-0.35
"1887-04-01",-0.34
"1887-05-01",-0.3
"1887-06-01",-0.24
"1887-07-01",-0.25
"1887-08-01",-0.34
"1887-09-01",-0.25
"1887-10-01",-0.35
"1887-11-01",-0.26
"1887-12-01",-0.33
"1888-01-01",-0.33
"1888-02-01",-0.35
"1888-03-01",-0.41
"1888-04-01",-0.2
"1888-05-01",-0.22
"1888-06-01",-0.17
"1888-07-01",-0.1
"1888-08-01",-0.15
"1888-09-01",-0.12
"1888-10-01",0.02
"1888-11-01",0.04
"1888-12-01",-0.04
"1889-01-01",-0.08
"1889-02-01",0.18
"1889-03-01",0.06
"1889-04-01",0.1
"1889-05-01",-0.01
"1889-06-01",-0.1
"1889-07-01",-0.07
"1889-08-01",-0.2
"1889-09-01",-0.24
"1889-10-01",-0.26
"1889-11-01",-0.33
"1889-12-01",-0.29
"1890-01-01",-0.42
"1890-02-01",-0.45
"1890-03-01",-0.4
"1890-04-01",-0.3
"1890-05-01",-0.4
"1890-06-01",-0.25
"1890-07-01",-0.28
"1890-08-01",-0.39
"1890-09-01",-0.37
"1890-10-01",-0.25
"1890-11-01",-0.44
"1890-12-01",-0.31
"1891-01-01",-0.33
"1891-02-01",-0.47
"1891-03-01",-0.18
"1891-04-01",-0.27
"1891-05-01",-0.16
"1891-06-01",-0.2
"1891-07-01",-0.17
"1891-08-01",-0.17
"1891-09-01",-0.15
"1891-10-01",-0.22
"1891-11-01",-0.31
"1891-12-01",-0.04
"1892-01-01",-0.28
"1892-02-01",-0.1
"1892-03-01",-0.4
"1892-04-01",-0.33
"1892-05-01",-0.23
"1892-06-01",-0.22
"1892-07-01",-0.31
"1892-08-01",-0.27
"1892-09-01",-0.16
"1892-10-01",-0.14
"1892-11-01",-0.41
"1892-12-01",-0.38
"1893-01-01",-0.8
"1893-02-01",-0.56
"1893-03-01",-0.22
"1893-04-01",-0.27
"1893-05-01",-0.34
"1893-06-01",-0.25
"1893-07-01",-0.14
"1893-08-01",-0.25
"1893-09-01",-0.23
"1893-10-01",-0.19
"1893-11-01",-0.19
"1893-12-01",-0.32
"1894-01-01",-0.52
"1894-02-01",-0.28
"1894-03-01",-0.22
"1894-04-01",-0.44
"1894-05-01",-0.3
"1894-06-01",-0.4
"1894-07-01",-0.24
"1894-08-01",-0.23
"1894-09-01",-0.28
"1894-10-01",-0.22
"1894-11-01",-0.25
"1894-12-01",-0.21
"1895-01-01",-0.4
"1895-02-01",-0.42
"1895-03-01",-0.32
"1895-04-01",-0.21
"1895-05-01",-0.27
"1895-06-01",-0.21
"1895-07-01",-0.16
"1895-08-01",-0.16
"1895-09-01",-0.12
"1895-10-01",-0.1
"1895-11-01",-0.16
"1895-12-01",-0.13
"1896-01-01",-0.21
"1896-02-01",-0.12
"1896-03-01",-0.26
"1896-04-01",-0.3
"1896-05-01",-0.16
"1896-06-01",-0.11
"1896-07-01",-0.02
"1896-08-01",-0.05
"1896-09-01",-0.07
"1896-10-01",0.06
